Wall time,Step,Value
1570232300.2016578,64940,1.6017720554373227e-05
1570232420.6381936,64989,0.0008831300074234605
1570232541.3022032,65038,0.0022901128977537155
1570232659.6285617,65086,0.00012116329889977351
1570233021.3733,65233,1.545252052892465e-05
1570233619.61202,65476,0.00021481084695551544
1570234219.87052,65720,0.0005841362290084362
1570235300.7649884,66159,7.101718074409291e-05
1570235660.349328,66305,0.0034506286028772593
1570236259.5713115,66548,0.00014904927229508758
1570236981.0171037,66841,0.00027347743161953986
1570237579.8565857,67084,0.0006444386090151966
1570238060.8915274,67279,0.00018398859538137913
1570238299.7598898,67376,4.37406160926912e-05
1570238420.4724855,67425,5.388016870710999e-05
1570238659.7635005,67522,0.00011814874596893787
1570238901.1134758,67620,0.0002381353115197271
1570239140.8334904,67717,4.038913903059438e-05
1570239259.5516539,67765,0.001687792711891234
1570239621.3452017,67912,5.208088259678334e-05
1570240220.3859627,68155,1.667054311838001e-05
1570241781.2713418,68788,9.791949560167268e-05
1570241899.7091947,68836,6.4446717260580044e-06
1570242020.306039,68885,0.0006794395158067346
1570242861.0544102,69226,0.00011703381460392848
1570242979.6517308,69274,0.00017453497275710106
1570243460.7012951,69469,0.0002306784881511703
1570243581.3181822,69518,0.000182748946826905
1570244059.7836738,69712,8.98159050848335e-05
1570244180.7969491,69761,2.1150384782231413e-05
1570244299.5918746,69809,4.4766984501620755e-05
1570244541.0086284,69907,0.0007088701822794974
1570244659.590927,69955,3.4885793866124004e-05
1570245260.8991592,70199,6.75871706334874e-05
1570245979.9881198,70491,7.728635682724416e-05
1570246819.8120596,70832,0.00015174844884313643
1570246940.8775613,70881,7.509015267714858e-05
1570248020.1933744,71319,0.004894448909908533
1570248141.0008302,71368,0.0004865032387897372
1570248621.2817957,71563,0.00032956223003566265
1570249821.3839934,72050,0.0004050427523907274
1570250540.92064,72342,3.251523958169855e-05
1570250900.6254902,72488,0.00015762845578137785
1570251140.347523,72585,2.4460292479489e-05
1570251261.2243428,72634,1.3269672308524605e-05
1570251379.7525086,72682,0.00015975091082509607
1570252339.5607884,73071,1.6291594874928705e-05
1570252459.8986876,73120,0.00020117757958360016
1570252580.5575664,73169,0.0015807149466127157
1570252819.777366,73266,0.0018847788451239467
1570253061.123892,73364,6.176342139951885e-05
1570253299.8252869,73461,5.069977487437427e-05
1570253541.1218941,73559,4.18832350987941e-05
1570254980.315705,74143,0.002912438940256834
1570255100.9950175,74192,0.0002905084693338722
1570255219.645112,74240,0.0002610419178381562
1570256300.980346,74679,0.00021631005802191794
1570256540.2017326,74776,0.00010696807294152677
1570257140.862038,75020,5.9604095440590754e-05
1570257980.1344442,75361,0.00014825003745499998
1570258460.23918,75556,0.0005820703227072954
1570258701.0874944,75654,0.00014260492753237486
1570258819.6660223,75702,7.342619937844574e-05
1570259540.8132305,75995,0.0010535175679251552
1570259660.712228,76043,0.000355615746229887
1570260500.6464171,76384,4.205005461699329e-05
1570261580.0130694,76823,0.0005309985135681927
1570261700.655491,76872,0.00013441930059343576
1570262181.063904,77067,2.4682482035132125e-05
1570262540.7945452,77213,6.39803838566877e-05
1570263021.208827,77408,2.9360910048126243e-05
1570264339.9679985,77943,0.0003145643859170377
1570264460.5573285,77992,4.374374111648649e-05
1570264820.0556836,78138,5.268667155178264e-05
1570265300.183539,78333,4.8623711336404085e-05
1570265420.5895934,78382,2.4982020477182232e-05
1570265780.1988497,78528,0.00011462836846476421
1570266021.25984,78626,9.066478378372267e-05
1570266619.636117,78869,0.00032479947549290955
1570267340.6101384,79162,5.892018452868797e-05
1570267579.563826,79259,0.011651180684566498
1570267820.594509,79357,0.0001285352191189304
1570268059.653495,79454,0.00018092124082613736
1570268539.6448128,79649,0.00011635548435151577
1570269021.2796683,79845,3.004411883011926e-05
1570269260.065449,79942,9.968463018594775e-06
1570269500.9155483,80040,0.0008661375613883138
1570269980.191699,80235,6.091670002206229e-05
1570270460.1821365,80430,0.0011819093488156796
1570270819.588987,80576,0.0001908015547087416
1570271540.0684457,80869,2.463640703354031e-05
1570271901.1506271,81016,2.7986608984065242e-05
1570272380.750333,81211,0.0001602138945600018
1570272740.2275584,81357,1.9582450477173552e-05
1570272860.9769652,81406,0.012203727848827839
1570273340.6398234,81601,0.000383943464839831
1570273579.5438702,81698,0.00027348005096428096
1570274061.1045475,81894,6.11344730714336e-05
1570274299.6893241,81991,1.8675440514925867e-05
1570274419.8664167,82040,0.0010906277457252145
1570275499.6559129,82479,0.0002245232171844691
1570275740.8609836,82577,9.956445137504488e-05
1570275861.3010974,82626,6.138488970464095e-05
1570276099.7045076,82723,0.0006076323916204274
1570276461.2439716,82870,3.505640779621899e-05
1570276579.61833,82918,5.8441233704797924e-05
1570276699.8396997,82967,0.0035167871974408627
1570277900.1065538,83455,9.758507076185197e-05
1570278020.6639376,83504,6.981605110922828e-05
1570278379.9744244,83650,7.419279427267611e-05
1570278500.3790631,83699,0.0007722110603936017
1570278980.7167237,83894,2.7322263122186996e-05
1570279340.1940246,84040,2.71792432613438e-05
1570280061.1432657,84333,0.007850302383303642
1570280299.8231797,84430,0.00031180446967482567
1570280659.569705,84576,0.00011720298789441586
1570280779.8281531,84625,0.00013476554886437953
1570280900.3627138,84674,0.0007103906245902181
1570281621.1534362,84967,0.001119951717555523
1570281739.7846684,85015,1.975697887246497e-05
1570281860.347338,85064,0.0001965795090654865
1570282767.1934247,85210,0.00906530860811472
1570282994.6041498,85299,0.00010488450789125636
1570283115.6282222,85350,3.1846589990891516e-05
1570283234.3803911,85400,9.444689567317255e-06
1570284194.3844213,85805,5.63624817004893e-05
1570288559.7853818,86196,0.0002823657705448568
1570289039.419044,86397,9.195515303872526e-05
1570289518.9492068,86598,8.785395039012656e-05
1570289879.7133517,86749,0.0006122769555076957
1570290118.406405,86849,0.00011606967746047303
1570290718.192395,87100,0.006100964266806841
1570290839.4552624,87151,0.0005006323335692286
1570291078.191099,87251,3.083857154706493e-05
1570292038.1364052,87653,0.00030523419263772666
1570292639.5351462,87905,9.893781680148095e-05
1570292878.3317056,88005,8.157416596077383e-05
1570293718.2733738,88357,0.00020517755183391273
1570294078.5932887,88508,0.0003463222528807819
1570294438.9308717,88659,4.966082633472979e-05
1570294918.6874185,88860,4.228113903081976e-05
1570295160.066394,88961,0.001924634212628007
1570295279.4951744,89011,0.00031985214445739985
1570296119.405791,89363,1.1110280865977984e-05
1570296478.141056,89513,0.0001375917490804568
1570296958.2323427,89714,9.958719601854682e-05
1570297079.1574624,89765,6.107971421442926e-05
1570297439.5235164,89916,4.201605770504102e-05
1570298279.6348937,90268,0.00017907410801853985
1570298638.1766636,90418,0.00012297759531065822
1570298879.1453705,90519,6.502838368760422e-05
1570298998.313431,90569,0.0003286595456302166
1570299960.2100434,90972,2.5017596271936782e-05
1570300079.5639343,91022,0.0009495459962636232
1570300318.2521894,91122,0.0005175807164050639
1570301038.8123524,91424,7.638314855284989e-06
1570301158.2973228,91474,0.0058174775913357735
1570301279.805568,91525,4.605719732353464e-05
1570301398.9372654,91575,0.005977689754217863
1570301759.7122812,91726,0.00029933993937447667
1570302118.3913333,91876,0.0002759665949270129
1570303318.3127706,92379,0.006800028961151838
1570304638.2843828,92932,5.694402716471814e-06
1570305118.1727614,93133,3.968815872212872e-05
1570305478.4399276,93284,0.00013858954480383545
1570305599.8236358,93335,0.0012543220072984695
1570306199.36897,93586,2.419494921923615e-05
1570306318.8016274,93636,3.2049600122263655e-05
1570306798.5770864,93837,0.0002714606816880405
1570306918.1478987,93887,0.00010834987187990919
1570307039.7317116,93938,2.057419260381721e-05
1570307758.2996557,94239,7.202218694146723e-05
1570308238.2773294,94440,3.503426705719903e-05
1570308359.7527947,94491,3.6626857763621956e-05
1570308598.2909586,94591,6.4380865296698175e-06
1570308719.525088,94641,1.6029323887778446e-05
1570309318.8899746,94893,0.00027526452322490513
1570309559.8753166,94994,0.00025175506016239524
1570309918.135149,95144,1.4439008737099357e-05
1570310278.718313,95295,2.311576645297464e-05
1570310519.538099,95396,7.094578177202493e-05
1570310758.3836484,95496,0.0007531853625550866
1570311238.2808259,95697,3.639539863797836e-05
1570311358.2014704,95747,0.00028193212347105145
1570312319.4544203,96150,5.0451089919079095e-06
1570312558.2878635,96250,1.6092852092697285e-05
1570313159.7665484,96502,0.016691407188773155
1570313878.3086283,96803,3.9828366425354034e-05
1570313999.7520556,96854,0.00010884074436035007
1570315439.6353927,97457,5.7603978348197415e-05
1570315919.4085133,97658,0.0070329164154827595
1570316279.8300843,97809,4.6295874199131504e-05
1570316759.813312,98010,0.0007173436461016536
1570316879.0090096,98060,4.0281352994497865e-05
1570317239.4688997,98211,0.00013681376003660262
1570317358.841003,98261,0.00042415165808051825
1570317719.1473134,98412,0.0010815372224897146
1570318079.4717531,98563,6.505065539386123e-05
1570318318.176053,98663,9.163987124338746e-05
1570319038.5024178,98965,4.684086889028549e-05
1570319158.2486486,99015,2.2950811398914084e-05
1570319398.8171556,99116,8.222235192079097e-05
1570319998.2853944,99367,0.00012865335156675428
1570320239.5657692,99468,2.3713355403742753e-05
1570320599.4904037,99619,0.00025097315665334463
1570320838.3480818,99719,4.868192263529636e-05
1570321079.7552521,99820,1.7581733118277043e-05
1570321438.1541588,99970,4.6418823330895975e-05
1570321559.7993422,100021,0.00011003880354110152
1570321798.5085688,100121,0.001632683095522225
1570322278.3236277,100322,2.8016804208164103e-05
1570323359.7598295,100775,3.337255748192547e-06
1570323598.2787662,100875,9.453578968532383e-05
1570324199.5653899,101127,0.00012452280498109758
1570324798.906985,101378,0.00014925046707503498
1570324918.280343,101428,0.0004678718978539109
1570325039.2531767,101478,0.0003946436336264014
1570325278.644715,101579,3.832543734461069e-05
1570325398.1307988,101629,2.5171069864882156e-05
